ns1:PERIODICAL-TITLE,ns1:LOCATION,ns1:TITLE,ns1:AUTHOR,ns1:ENGLISH,ns1:SPANISH,ns1:GENDER,ns1:LANGUAGE,ns1:ETHNICITY
"El Cronista del Valle, Brownsville, TX","12 Julio, 1929, p. 2",La copa,"Aabas Aloma, Mariblanca","Poetry
Sonnet
Melancholy in literature
1929","Poesía
Soneto
Melancolía en la literatura",Female,Spanish,
"EL Cronista del Valle, Brownsville, TX",24 marzo 1927 p. 3,El niño y su hacha,"Abasolo, Flora","Short stories
Children in literature
Nature in literature
1927","Cuentos
Niños en  la literatura
Naturaleza en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX.","7, Agosto 1925 [p.2]",Argbol de navidad,"Abella Caprile, Margarita, `1901-1960","Poetry
Christmas in literature
Children in literature
1925","Poesía
Navidad en la literatura
Niños en la literatura",Female,Spanish,Argentinian
"El Cronista del Valle, Brownsville, TX.","7, Agosto 1925 [p.2]",El recuerdo,"Abella Caprile, Margarita, 1901-1960","Poetry
Melancholy in literature
1925","Poesía
Melancholía en la literatura",Female,Spanish,Argentinian
"El Cronista del Valle, Brownsville, TX","7, Agosto 1925 [p.2]",Soledad,"Abella Caprile, Margarita, 1901-1960","Poetry
Solitude in literature
Sadness in literature
1925","Poesía
Soledad en la literatura
Tristeza en la literatura",Female,Spanish,Argentinian
"El Cronista del Valle, Brownsville, TX.","14, Enero 1927 p.2",La casa,"Abella Caprile, Margarita, 1901-1960","Poetry
Time in literature
1927","Poesía
Tiempo en la literatura",Female,Spanish,Argentinian
"El Eco, Kingsville, TX.","Junio-Julio, 1940 p.2",La voz de la convención,"Acevedo, Bertha R.","Non-literary-item
Newspapers
1940
Women and literature","Artículo no literario
Periódicos-La voz de la Convención
Mujeres en la literatura",Female,Spanish,
"Alfa, Kingsville, TX.","15, Octubre 1932 [p.5;6]",Concurso No.3 (IN: Concurso bíblico de las SS.FF),"Acevedo, S.R de","Riddles, Spanish
1932",,Female,Spanish,
"El Eco, Kingsville, TX.","1, Diciembre 1934 p.7",Grata historia,"Acevedo, S.R. De","Poetry
Jesus Christ-Biography-Devotional literature
Christmas
1934","Poesía
Jesucristo-Biografía-Literatura devocional
Navidad",Female,Spanish,
"El Eco, Kingsville, TX.","1, Diciembre 1934 p.7",Ecos alegres,"Acevedo, S.R. De","Poetry
Jesus Christ-Nativity virgin birth
Devotional literature
Christmas in literature
1934","Poesía
Jesucristo-Nacimiento de virgen
Literatura devocional
Navidad en la literatura",Female,Spanish,
